Step	Training Loss
10	3.120400
20	2.849500
30	2.079400
40	1.549500
50	0.941200
60	0.613700
70	0.565500
80	0.532000
90	0.472600
100	0.473700
110	0.454500
120	0.431100
130	0.420600
140	0.447400
150	0.439200
160	0.438100
170	0.425400
180	0.427300
190	0.426200
200	0.405000
210	0.417900
220	0.389400
230	0.397200
240	0.417700
250	0.414100
260	0.384800
270	0.417000
280	0.407100
290	0.405600
300	0.384700
310	0.404800
320	0.390000
330	0.408500
340	0.387900
350	0.383600
360	0.368600
370	0.378700
380	0.368000
390	0.372000
400	0.392800
410	0.377200
420	0.387400
430	0.375100
440	0.365000
450	0.367200
460	0.376400
470	0.353800
480	0.372400
490	0.366000
500	0.368000
510	0.363400
520	0.354600
530	0.341500
540	0.347800
550	0.350400
560	0.345800
570	0.353100
580	0.331800
590	0.344200
600	0.335400
610	0.348400
620	0.330700
630	0.365800
640	0.352400
650	0.354200
660	0.353800
670	0.318900
680	0.335900
690	0.346300
700	0.332500
710	0.335900
720	0.330300
730	0.300900
740	0.323900
750	0.317800
760	0.347000
770	0.315300
780	0.318400
790	0.303000
800	0.328900
810	0.335300
820	0.320900
830	0.315000
840	0.321700
850	0.278500
860	0.305700
870	0.299100
880	0.299700
890	0.315100
900	0.327700
910	0.331000
920	0.311000
930	0.305000
940	0.321900
950	0.291200
960	0.310600
970	0.287400
980	0.291600
990	0.293700
1000	0.294600
1010	0.294600
1020	0.284100
1030	0.273100
1040	0.285600
1050	0.290000
1060	0.284400
1070	0.284000
1080	0.296800
1090	0.291900
1100	0.273000
1110	0.279100
1120	0.266300
1130	0.287100
1140	0.295100
1150	0.265100
1160	0.278800
1170	0.291400
1180	0.278100
1190	0.248700
1200	0.223700
1210	0.217600
1220	0.258700
1230	0.231700
1240	0.224000
1250	0.227800
1260	0.228100
1270	0.213700
1280	0.225800
1290	0.220800
1300	0.233200
1310	0.220800
1320	0.206800
1330	0.234700
1340	0.233800
1350	0.215900
1360	0.201200
1370	0.221500
1380	0.219200
1390	0.225100
1400	0.215500
1410	0.232100
1420	0.205700
1430	0.230300
1440	0.221500
1450	0.231400
1460	0.189700
1470	0.217600
1480	0.188600
1490	0.184800
1500	0.222800
1510	0.199800
1520	0.210200
1530	0.201400
1540	0.206900
1550	0.197600
1560	0.200300
1570	0.248300
