Step	Training Loss
10	3.043400
20	2.752200
30	2.114800
40	1.578000
50	0.962400
60	0.592700
70	0.542700
80	0.500700
90	0.457100
100	0.463500
110	0.463800
120	0.422300
130	0.442300
140	0.422300
150	0.431500
160	0.424600
170	0.447800
180	0.419600
190	0.433700
200	0.411000
210	0.414500
220	0.413900
230	0.398400
240	0.426900
250	0.411000
260	0.423600
270	0.404500
280	0.397300
290	0.404100
300	0.407800
310	0.398900
320	0.396000
330	0.406500
340	0.400100
350	0.384100
360	0.409900
370	0.406700
380	0.405300
390	0.377500
400	0.384000
410	0.383300
420	0.387000
430	0.400700
440	0.393700
450	0.382100
460	0.397000
470	0.382400
480	0.380400
490	0.382500
500	0.363500
510	0.376200
520	0.375800
530	0.381300
540	0.382000
550	0.385100
560	0.388800
570	0.359600
580	0.374000
590	0.360400
600	0.369200
610	0.377600
620	0.376700
630	0.347200
640	0.381600
650	0.363300
660	0.365700
670	0.360400
680	0.371300
690	0.360800
700	0.350800
710	0.348800
720	0.361500
730	0.359200
740	0.369800
750	0.365700
760	0.338500
770	0.331000
780	0.317700
790	0.338300
800	0.337700
810	0.331800
820	0.314900
830	0.318700
840	0.326200
850	0.333200
860	0.321100
870	0.292700
880	0.337800
890	0.314500
900	0.317600
910	0.328000
920	0.321700
930	0.324400
940	0.316100
950	0.319800
960	0.313500
970	0.327700
980	0.315600
990	0.301100
1000	0.307300
1010	0.321700
1020	0.327700
1030	0.320200
1040	0.318100
1050	0.300000
1060	0.309800
1070	0.315500
1080	0.301100
1090	0.308000
1100	0.306300
1110	0.313700
1120	0.294500
1130	0.306600
1140	0.301000
1150	0.310200
1160	0.288000
1170	0.307300
1180	0.306000
1190	0.305800
1200	0.306100
1210	0.305000
1220	0.309000
1230	0.309100
1240	0.295300
1250	0.305300
1260	0.282800
1270	0.302900
1280	0.299600
1290	0.304500
1300	0.310100
1310	0.310100
1320	0.294300
1330	0.304700
1340	0.302500
1350	0.281200
1360	0.292100
1370	0.290800
1380	0.297800
1390	0.281700
1400	0.273700
1410	0.280900
1420	0.277800
1430	0.289500
1440	0.276400
1450	0.300500
1460	0.290600
1470	0.296500
1480	0.294800
1490	0.287600
1500	0.294800
1510	0.269700
1520	0.262700
1530	0.229300
1540	0.240200
1550	0.225000
1560	0.240900
1570	0.237000
1580	0.230800
1590	0.238600
1600	0.233700
1610	0.246100
1620	0.226300
1630	0.231100
1640	0.231500
1650	0.240800
1660	0.235900
1670	0.246200
1680	0.243300
1690	0.228500
1700	0.229900
1710	0.241500
1720	0.227400
1730	0.233300
1740	0.246000
1750	0.218300
1760	0.236200
1770	0.233100
1780	0.236200
1790	0.222900
1800	0.230600
1810	0.231200
1820	0.228700
1830	0.226200
1840	0.228900
1850	0.228200
1860	0.226200
1870	0.230600
1880	0.241200
1890	0.236700
1900	0.227500
1910	0.240200
1920	0.227300
1930	0.225800
1940	0.224300
1950	0.228700
1960	0.207500
1970	0.222600
1980	0.229500
1990	0.227100
2000	0.225600
2010	0.223700
2020	0.221100
2030	0.220500
2040	0.217100
2050	0.219300
2060	0.216900
2070	0.225800
2080	0.232200
2090	0.228200
2100	0.224500
2110	0.229600
2120	0.221800
2130	0.226600
2140	0.217500
2150	0.230700
2160	0.215800
2170	0.228300
2180	0.221800
2190	0.235300
2200	0.218200
2210	0.231200
2220	0.233100
2230	0.221900
2240	0.223300
2250	0.218400
2260	0.231700
2270	0.223100
